gameDuration,win,FirstBlood,FirstTower,FirstBaron,FirstDragon,wardPlaced,wardKills,totalMinionKills,jungleMinionKills,totalHeal
1402,Red,1,1,1,0,1,0,1,1,1
1515,Blue,1,1,0,1,1,1,1,1,1
913,Red,1,0,1,1,1,1,1,0,0
2157,Blue,0,0,0,0,1,0,1,0,0
1439,Red,1,0,1,1,0,1,1,1,1
1680,Red,0,1,1,1,0,1,1,1,1
1495,Blue,1,1,0,0,0,1,1,1,1
1614,Red,0,0,1,0,1,0,0,1,1
1117,Red,1,1,1,1,0,1,1,1,1
950,Blue,1,1,0,1,1,1,1,1,1
1798,Blue,0,0,0,1,0,0,1,1,0
964,Blue,1,1,0,1,1,0,0,1,1
1836,Blue,0,1,0,0,1,0,1,0,0
1353,Blue,1,1,0,1,0,1,0,1,1
1738,Red,0,0,1,1,1,0,1,1,1
1913,Blue,1,0,1,1,1,0,1,1,1
1425,Red,1,0,1,0,1,0,1,1,0
939,Red,1,1,1,0,1,0,1,1,1
961,Red,1,1,1,0,1,1,1,0,1
2381,Red,1,0,1,0,0,1,1,1,0
1341,Blue,1,1,0,1,0,1,1,1,1
1518,Blue,1,1,0,1,1,1,1,1,0
1441,Red,1,1,1,1,1,0,0,1,1
989,Red,1,1,1,0,1,0,1,0,0
2104,Blue,1,1,1,1,1,1,0,1,0
1237,Red,1,0,1,1,0,1,1,1,1
1134,Blue,0,1,0,0,1,0,0,1,1
1612,Blue,1,1,1,0,1,1,1,1,1
1428,Red,0,1,1,1,1,1,0,1,1
1742,Red,1,0,1,0,1,0,0,1,1
1027,Red,0,1,1,1,1,0,1,0,1
1317,Blue,1,1,0,0,1,1,1,1,1
1751,Blue,1,0,0,1,0,0,1,1,0
1222,Blue,1,0,0,0,1,0,1,0,1
1170,Blue,1,1,0,1,1,1,0,1,1
1716,Blue,0,1,1,0,0,1,1,0,0
1385,Blue,1,0,0,1,0,1,1,1,1
1442,Blue,1,1,0,0,0,1,0,1,1
1586,Red,1,0,1,1,1,0,1,1,0
1327,Blue,0,1,0,0,1,1,0,1,1
2786,Red,0,1,0,0,0,1,0,1,1
1421,Blue,1,0,0,1,1,1,1,1,0
1149,Red,0,1,1,1,0,1,0,0,1
1153,Red,0,1,1,1,0,1,1,1,0
1634,Red,0,0,1,1,1,0,0,1,1
1572,Blue,1,0,0,1,0,1,1,0,0
2008,Blue,0,0,1,1,1,0,0,0,1
2108,Red,1,1,0,1,1,1,0,1,1
987,Red,1,1,1,1,1,1,1,1,1
955,Red,1,1,1,0,1,1,1,1,1
944,Red,0,1,1,1,1,0,1,1,1
1892,Blue,0,1,1,0,0,1,1,1,1
1570,Red,0,1,1,0,0,1,1,1,1
933,Blue,1,1,0,1,1,1,1,1,1
1502,Blue,1,1,0,1,1,1,1,0,0
1318,Blue,0,1,0,1,1,0,1,1,1
1581,Blue,0,1,1,1,0,1,1,1,1
1451,Red,1,1,1,1,0,0,1,1,1
1310,Blue,0,1,0,1,1,1,1,1,0
2139,Red,0,0,1,1,1,0,0,1,1
1454,Blue,1,0,1,0,1,0,1,1,0
1775,Red,0,0,1,1,1,0,1,1,1
1358,Red,1,1,1,1,1,1,0,1,1
1265,Blue,0,1,0,0,1,1,1,1,1
1406,Blue,0,1,1,1,0,1,1,1,1
928,Blue,0,1,0,0,1,1,1,1,1
1121,Blue,0,1,0,0,1,1,1,1,1
1882,Red,0,1,1,0,1,0,1,1,1
1225,Red,0,0,1,0,1,0,1,0,1
1361,Red,0,1,1,1,1,0,1,1,1
1356,Red,0,1,1,1,1,1,0,1,1
1097,Blue,1,1,0,0,1,0,1,1,1
979,Red,1,1,1,1,1,0,1,1,1
2012,Red,1,1,1,0,1,1,1,1,1
1429,Blue,0,1,1,1,0,1,1,1,1
1375,Blue,1,1,0,0,1,1,1,1,1
2349,Blue,1,1,1,1,1,0,0,1,1
1252,Red,0,1,1,1,1,0,1,1,0
1722,Red,0,1,1,0,0,1,1,0,1
967,Red,1,1,1,1,1,1,0,1,1
2046,Red,0,0,1,1,0,1,1,1,1
1480,Blue,1,1,0,1,0,1,1,1,1
1210,Red,0,1,1,1,1,0,1,1,1
1307,Red,0,0,1,1,1,1,1,1,1
1039,Blue,1,1,0,0,1,1,1,1,0
2188,Red,0,0,1,0,1,1,0,1,0
1664,Red,0,1,1,0,1,1,1,1,0
1916,Red,0,0,1,1,0,1,1,1,1
1560,Blue,1,1,0,1,1,1,0,1,1
1536,Blue,1,1,0,1,0,1,0,1,0
2232,Blue,1,1,0,0,0,1,0,1,1
1320,Red,0,1,1,0,1,1,0,0,0
1134,Blue,1,1,0,0,0,1,1,1,1
1678,Blue,1,1,1,0,1,1,1,1,1
1856,Blue,1,1,0,1,1,1,1,1,0
1309,Red,1,1,1,1,0,0,1,1,1
959,Red,1,1,1,1,0,1,1,1,1
1904,Blue,0,1,1,1,1,0,1,0,1
951,Blue,1,1,0,1,1,1,1,1,1
1165,Blue,0,0,0,0,1,0,1,1,1
1584,Red,0,1,1,1,1,1,1,0,1
1504,Blue,0,1,0,1,0,1,1,0,1
1445,Blue,1,1,0,1,0,0,0,0,1
2024,Blue,1,1,0,0,0,1,0,1,1
